Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,54.380001,57.000000,53.000000,55.250000,52.275955,5501400
2020-01-24,53.900002,56.000000,53.900002,55.000000,52.039410,1016200
2020-01-27,54.500000,55.500000,53.849998,54.900002,51.944794,67700
2020-01-28,54.750000,55.500000,54.049999,55.250000,52.275955,76000
2020-01-29,25.250000,25.260000,25.150000,25.209999,23.852972,1401900
2020-01-30,54.209999,55.735001,54.209999,55.432999,52.449100,604000
2020-01-31,55.000000,55.000000,54.400002,54.761002,51.813274,37100
2020-02-03,54.844002,55.000000,54.349998,54.952999,51.994942,117900
2020-02-04,55.330002,55.700001,55.330002,55.500000,52.512493,65900
2020-02-05,56.099998,56.099998,55.400002,55.410000,52.427341,22000
2020-02-06,55.570000,55.849998,55.570000,55.700001,52.701729,2400
2020-02-07,55.430000,55.730000,55.000000,55.290001,52.313801,47000
2020-02-10,55.750000,55.750000,55.000000,55.400002,52.417885,109200
2020-02-11,55.689999,56.040001,55.318001,55.700001,52.701729,27600
2020-02-12,56.485001,56.830002,55.380001,55.549999,52.559803,114600
2020-02-13,56.250000,56.250000,55.270000,55.340000,52.361107,63300
2020-02-14,55.000000,55.349998,54.610001,55.090000,52.124565,23400
2020-02-18,55.639999,55.639999,54.349998,54.410000,51.481167,28600
2020-02-19,54.250000,54.400002,53.130001,54.150002,51.235165,279600
2020-02-20,56.000000,56.000000,53.590000,54.250000,51.329781,148600
2020-02-21,53.930000,55.180000,53.930000,55.049999,52.086716,359600
2020-02-24,54.939999,54.939999,53.549999,53.930000,51.027008,175600
2020-02-25,53.799999,53.810001,52.750000,52.750000,49.910522,224900
2020-02-26,53.099998,53.369999,52.200001,52.290001,49.475285,890800
2020-02-27,51.910000,53.150002,51.650002,51.650002,48.869736,138100
2020-02-28,50.450001,51.439999,50.000000,51.049999,48.302029,1243700
2020-03-02,50.945000,51.439999,50.490002,51.119999,48.368263,176700
2020-03-03,51.410000,51.759998,50.349998,50.419998,47.705944,168100
2020-03-04,50.360001,51.660000,50.279999,51.660000,48.879196,33800
2020-03-05,50.590000,50.823002,49.438999,49.580002,46.911163,340100
2020-03-06,49.250000,49.250000,47.835999,48.599998,45.983913,262300
2020-03-09,45.750000,48.049999,45.575001,45.830002,43.363022,28100
2020-03-10,46.970001,47.560001,45.564999,46.840000,44.318653,123400
2020-03-11,46.000000,46.000000,45.200001,45.430000,42.984554,6100
2020-03-12,43.959999,43.959999,39.540001,39.540001,37.411602,121700
2020-03-13,40.529999,41.700001,39.480000,40.000000,37.846844,116200
2020-03-16,35.660000,38.910000,35.000000,35.000000,33.115986,48400
2020-03-17,36.759998,39.299999,35.009998,38.770000,36.683052,421500
2020-03-18,37.910000,37.910000,30.725000,34.410000,32.557743,55100
2020-03-19,32.071999,35.740002,30.980000,32.450001,30.703253,16300
2020-03-20,33.000000,36.000000,33.000000,34.840000,32.964603,9000
2020-03-23,35.000000,35.240002,32.480000,33.430000,31.630499,148300
2020-03-24,36.770000,36.770000,34.910000,35.840000,33.910770,203800
2020-03-25,37.150002,37.500000,35.729000,36.320000,34.364933,205300
2020-03-26,38.130001,40.720001,38.130001,40.220001,38.055004,37700
2020-03-27,39.450001,42.422001,39.450001,42.422001,40.138474,900
2020-03-30,41.000000,43.040001,40.310001,41.549999,39.313408,2800
2020-03-31,41.110001,43.490002,41.110001,41.139999,38.925476,6500
2020-04-01,38.724998,40.790001,37.830002,39.810001,37.667072,15900
2020-04-02,37.430000,39.660000,37.430000,37.570000,35.547646,31100
2020-04-03,38.290001,38.290001,37.549999,37.740002,35.708500,4800
2020-04-06,39.619999,40.610001,39.619999,40.020000,37.865765,1400
2020-04-07,41.470001,41.990002,41.470001,41.990002,39.729721,1500
2020-04-08,43.869999,44.070000,42.340000,42.340000,40.060883,2700
2020-04-09,44.450001,45.860001,44.450001,45.860001,43.391407,74400
2020-04-13,43.750000,43.950001,43.750000,43.799999,41.442295,2900
2020-04-14,44.169998,44.200001,43.430000,43.970001,42.232780,3700
2020-04-15,42.630001,43.040001,42.520000,42.970001,41.272289,3000
2020-04-16,41.650002,42.665001,41.650002,42.580002,40.897697,201600
2020-04-17,44.630001,46.180000,44.196999,46.180000,44.355461,1300
2020-04-20,47.570000,47.570000,45.400002,45.869999,44.057705,4500
2020-04-21,44.340000,44.340000,41.740002,43.523998,41.804398,31500
2020-04-22,43.560001,43.560001,43.529999,43.540001,41.819767,2000
2020-04-23,43.810001,43.810001,43.520000,43.520000,41.800556,494900
2020-04-24,42.935001,43.240002,42.856998,43.240002,41.531620,160100
2020-04-27,43.720001,45.400002,43.720001,45.150002,43.366161,12100
2020-04-28,44.349998,45.099998,44.060001,45.099998,43.318130,20900
2020-04-29,46.919998,46.919998,46.160000,46.160000,44.336250,2100
2020-04-30,45.259998,46.430000,44.903000,46.000000,44.182575,217600
2020-05-01,45.090000,45.240002,44.348999,45.240002,43.452602,51000
2020-05-04,44.599998,44.599998,44.349998,44.349998,42.597759,700
2020-05-05,46.790001,46.790001,44.520000,44.689999,42.924332,4900
2020-05-06,42.750000,44.137001,42.750000,43.259998,41.550831,111200
2020-05-07,41.910000,41.910000,37.000000,37.000000,35.538158,542000
2020-05-08,38.119999,40.000000,37.340000,37.639999,36.152874,327600
2020-05-11,36.000000,38.606998,35.990002,38.330002,36.815609,249100
2020-05-12,37.993000,37.993000,37.000000,37.099998,35.634201,211400
2020-05-13,36.307999,36.625000,35.660000,35.910000,34.491219,96000
2020-05-14,35.250000,36.080002,35.250000,36.080002,34.654507,105700
2020-05-15,36.680000,36.680000,35.080002,35.200001,33.809273,9700
2020-05-18,35.630001,36.029999,35.450001,35.799999,34.385571,79800
2020-05-19,35.110001,35.950001,35.110001,35.869999,34.452801,3900
2020-05-20,36.000000,36.360001,35.792999,35.939999,34.520035,33000
2020-05-21,35.700001,35.805000,34.799999,35.200001,33.809273,652900
2020-05-22,35.450001,35.750000,34.799999,35.110001,33.722828,10300
2020-05-26,35.759998,35.950001,35.759998,35.950001,34.529644,8300
2020-05-27,36.020000,38.120998,36.009998,38.120998,36.614864,2200
2020-05-28,38.540001,38.750000,38.125000,38.200001,36.690746,69000
2020-05-29,37.840000,38.235001,37.209999,38.029999,36.527462,34800
2020-06-01,38.020000,38.110001,37.810001,38.110001,36.604301,2300
2020-06-02,39.000000,39.181000,38.990002,39.181000,37.632984,36900
