Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,22.000000,22.379999,21.500000,21.600000,21.600000,947100
2020-09-14,21.740000,21.950001,21.600000,21.950001,21.950001,1329800
2020-09-15,21.990000,22.430000,21.879999,22.400000,22.400000,1301700
2020-09-16,22.700001,22.917000,22.450001,22.500000,22.500000,1310000
2020-09-17,22.500000,22.900000,22.360001,22.629999,22.629999,1087100
2020-09-18,22.590000,23.290001,22.500000,23.100000,23.100000,1047600
2020-09-21,23.250000,23.347000,22.629999,23.110001,23.110001,1152300
2020-09-22,23.299999,23.440001,22.809999,23.000000,23.000000,814700
2020-09-23,23.219999,23.219999,22.510000,22.700001,22.700001,1002500
2020-09-24,22.209999,22.440001,21.740000,22.040001,22.040001,1460700
2020-09-25,22.320000,22.370001,21.850000,21.900000,21.900000,1018000
2020-09-28,22.070000,22.400000,22.040001,22.299999,22.299999,781400
2020-09-29,22.410000,22.830000,22.309999,22.650000,22.650000,1140200
2020-09-30,22.580000,22.987000,22.480000,22.690001,22.690001,848000
2020-10-01,22.879999,22.940001,22.650000,22.730000,22.730000,598700
2020-10-02,22.250000,22.898001,22.209999,22.680000,22.680000,737500
2020-10-05,22.700001,22.830000,22.389999,22.750000,22.750000,641700
2020-10-06,22.700001,22.700001,22.400000,22.400000,22.400000,991100
2020-10-07,22.580000,22.700001,22.400000,22.420000,22.420000,928300
2020-10-08,22.620001,22.725000,22.450001,22.500000,22.500000,1277100
2020-10-09,22.740000,23.299999,22.530001,22.750000,22.750000,1753000
2020-10-12,23.400000,23.430000,22.920000,23.150000,23.150000,1343000
2020-10-13,23.150000,23.430000,23.080000,23.299999,23.299999,1088400
2020-10-14,23.320000,23.430000,23.200001,23.290001,23.290001,1082700
2020-10-15,23.090000,23.389999,23.031000,23.270000,23.270000,713400
2020-10-16,23.400000,23.700001,23.340000,23.590000,23.590000,843600
2020-10-19,23.790001,23.940001,23.600000,23.700001,23.700001,792100
2020-10-20,23.860001,24.000000,23.760000,23.879999,23.879999,1315900
2020-10-21,24.440001,24.700001,23.410000,23.570000,23.570000,2261100
2020-10-22,23.650000,23.690001,23.000000,23.440001,23.440001,1136300
2020-10-23,23.379999,23.389999,22.809999,22.990000,22.990000,900800
2020-10-26,22.799999,22.950001,22.219999,22.459999,22.459999,1292100
2020-10-27,22.680000,22.709999,22.209999,22.500000,22.500000,977500
2020-10-28,22.299999,22.490000,21.879999,22.270000,22.270000,1418200
2020-10-29,22.389999,22.590000,22.200001,22.590000,22.590000,462600
2020-10-30,22.320000,22.450001,22.170000,22.240000,22.240000,698800
2020-11-02,22.250000,22.580000,22.100000,22.240000,22.240000,558000
2020-11-03,22.309999,22.520000,22.180000,22.240000,22.240000,509600
2020-11-04,22.290001,22.410000,22.230000,22.320000,22.320000,824300
2020-11-05,22.600000,22.730000,22.299999,22.639999,22.639999,622100
2020-11-06,22.700001,23.480000,22.639999,23.290001,23.290001,822800
2020-11-09,23.650000,23.650000,23.170000,23.219999,23.219999,1375900
2020-11-10,23.219999,23.389999,22.860001,23.150000,23.150000,686700
2020-11-11,23.059999,23.490000,22.850000,23.240000,23.240000,932200
2020-11-12,23.059999,23.200001,22.860001,22.969999,22.969999,837800
2020-11-13,22.990000,23.315001,22.850000,23.070000,23.070000,622200
2020-11-16,23.490000,23.990000,23.299999,23.900000,23.900000,1803900
2020-11-17,24.000000,24.000000,23.719999,23.809999,23.809999,1264300
2020-11-18,23.930000,24.719999,23.865999,24.650000,24.650000,1697300
2020-11-19,24.900000,25.299999,23.559999,23.850000,23.850000,2732600
2020-11-20,23.860001,24.469999,23.860001,24.080000,24.080000,979800
2020-11-23,24.120001,24.490000,23.760000,24.100000,24.100000,1376300
2020-11-24,24.090000,24.469999,24.080000,24.280001,24.280001,1166000
2020-11-25,24.299999,24.770000,24.200001,24.350000,24.350000,1685600
2020-11-27,25.000000,25.150000,24.610001,25.000000,25.000000,2394500
2020-11-30,26.770000,27.400000,25.690001,26.010000,26.010000,9403100
2020-12-01,26.469999,26.500000,25.570000,25.650000,25.650000,5234000
2020-12-02,25.480000,26.129999,24.680000,25.400000,25.400000,3375200
2020-12-03,25.700001,26.350000,25.559999,25.639999,25.639999,2768600
2020-12-04,26.000000,26.260000,25.709999,26.000000,26.000000,2286000
2020-12-07,26.570000,26.600000,25.360001,25.980000,25.980000,5438400
2020-12-08,25.500000,25.760000,24.910000,25.620001,25.620001,3587900
2020-12-09,25.889999,26.150000,25.299999,25.910000,25.910000,2707400
2020-12-10,25.719999,25.799999,25.337000,25.450001,25.450001,2668000
2020-12-11,26.090000,26.139999,25.620001,25.660000,25.660000,3275900
2020-12-14,26.100000,26.110001,25.660000,25.790001,25.790001,2644900
2020-12-15,25.860001,25.975000,25.370001,25.400000,25.400000,2502500
2020-12-16,25.629999,25.629999,24.900000,25.020000,25.020000,3695900
2020-12-17,25.000000,25.440001,24.927000,25.200001,25.200001,2007300
2020-12-18,25.200001,25.340000,25.000000,25.040001,25.040001,2013100
2020-12-21,25.000000,25.250000,24.910000,25.049999,25.049999,2411300
2020-12-22,25.450001,25.690001,25.180000,25.299999,25.299999,2735700
2020-12-23,25.299999,26.480000,25.150000,26.030001,26.030001,5443400
2020-12-24,26.309999,26.350000,25.659000,26.030001,26.030001,2432300
2020-12-28,26.500000,26.709999,25.910000,25.990000,25.990000,4950000
2020-12-29,26.330000,26.400000,25.250000,26.110001,26.110001,3306800
2020-12-30,26.190001,27.100000,26.040001,26.920000,26.920000,4340300
2020-12-31,27.030001,28.150000,26.799999,27.719999,27.719999,5468000
2021-01-04,27.680000,27.889999,26.270000,26.920000,26.920000,3930200
2021-01-05,26.690001,26.865000,26.330000,26.580000,26.580000,2323100
2021-01-06,26.400000,27.000000,26.180000,26.389999,26.389999,2300800
2021-01-07,26.680000,27.490000,26.520000,27.340000,27.340000,3127000
2021-01-08,27.900000,31.209999,27.209999,29.320000,29.320000,9397900
2021-01-11,28.790001,30.150000,27.700001,28.230000,28.230000,7424400
2021-01-12,28.389999,28.990000,28.100000,28.610001,28.610001,2909400
2021-01-13,28.500000,29.400000,28.400000,29.049999,29.049999,2914900
2021-01-14,29.990000,29.990000,29.330000,29.690001,29.690001,4018900
2021-01-15,29.610001,29.840000,28.240000,29.719999,29.719999,3630900
2021-01-19,29.430000,29.580000,28.799999,29.030001,29.030001,3108900
2021-01-20,29.010000,29.496000,28.620001,29.200001,29.200001,2357600
2021-01-21,29.200001,29.400000,28.670000,29.200001,29.200001,2193200
2021-01-22,28.799999,29.350000,28.700001,29.200001,29.200001,2008500
2021-01-25,29.040001,29.180000,27.542999,27.900000,27.900000,5296200
